"annotation_id","annotator","choice","created_at","id","image","lead_time","updated_at"
1,"1","","2025-02-26T19:41:32.086186Z",1,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213650_436-0001.jpeg",8.612,"2025-02-26T19:41:32.086210Z"
2,"1","click","2025-02-26T19:41:37.338558Z",2,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213650_436-0002.jpeg",4.993,"2025-02-26T19:41:37.338593Z"
3,"1","","2025-02-26T19:41:44.587074Z",3,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213650_436-0003.jpeg",6.995,"2025-02-26T19:41:44.587098Z"
4,"1","click","2025-02-26T19:41:48.680653Z",4,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213650_436-0004.jpeg",3.845,"2025-02-26T19:41:48.680674Z"
5,"1","","2025-02-26T19:41:56.495686Z",5,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213650_436-0005.jpeg",7.396,"2025-02-26T19:41:56.495710Z"
6,"1","click","2025-02-26T19:42:02.115928Z",6,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213650_436-0006.jpeg",5.37,"2025-02-26T19:42:02.115952Z"
7,"1","","2025-02-26T19:42:05.416098Z",7,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213650_436-0007.jpeg",3.055,"2025-02-26T19:42:05.416121Z"
8,"1","click","2025-02-26T19:42:09.369036Z",8,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213650_436-0008.jpeg",3.706,"2025-02-26T19:42:09.369061Z"
9,"1","","2025-02-26T19:42:16.691508Z",9,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213650_436-0009.jpeg",7.069,"2025-02-26T19:42:16.691532Z"
10,"1","","2025-02-26T19:42:21.006464Z",10,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213650_436-0010.jpeg",4.073,"2025-02-26T19:42:21.006489Z"
